01	233168
02	4613732
03	6857
04	906609
05	232792560
06	25164150
07	104713
08	23514624000
09	31875000
10	142913828922 (got too time)
11	70600674
12	76576500
13	5537376230
14	837799
15	137846528820
16	1366
17	21124
18	1074
19	171
20	648
21	31626
22	871198282
23	4179871
24	2783915460
25	4782
26	983
27	-60939
28	669171001
29	9183
30	443839
31	73682
32	45228
33	100
34	40730
35	55
36	872187
37	748317
38	932718654
39	840
40	210
41	7652413
42	162
43	16695334890
44	5482660(got too time)
45	1533776805
46	5777
47	134043
48	9110846700
49	296962999629
50	997651(got some time)

52	142857
53	4075
54	376(got too time - big code)


57	153
58	26241
59	107359
